query_id,doc_id,relevant,notes
1,biorxiv_10.64898_2025.12.30.692369,,
1,crossref_10.1007_978-1-4614-1806-1_78,,
1,crossref_10.1007_978-3-642-27737-5_395-4,,
1,crossref_10.1007_978-3-642-73782-4_5,,
1,crossref_10.1016_j.dsp.2014.02.014,,
1,fab6680d-2436-428a-9979-c67e1319c78f,,
1,pubmed_30872376,,
1,pubmed_31034882,,
1,pubmed_39178831,,
1,pubmed_39831541,,
2,42d12d58-2729-4034-b84a-62dc415227ac,,
2,63c67759-b837-4d8b-acd2-a643778f0a13,,
2,arxiv_2604.21085v1,,
2,arxiv_2604.22620v1,,
2,arxiv_2605.13807v1,,
2,crossref_10.1201_9781003561460-18,,
2,fabc2c25-d58e-4641-b9c3-f534bb4f8109,,
2,pubmed_32017616,,
2,pubmed_41083134,,
2,pubmed_4901403,,
3,165d652f-8316-4233-94f5-79f05657421c,,
3,8b54e52c-30ab-47fe-a583-3ac5434286c8,,
3,arxiv_1904.13093v1,,
3,arxiv_2604.20573v1,,
3,crossref_10.1109_ntms.2011.5720587,,
3,crossref_10.1112_jlms_s2-25.1.43,,
3,crossref_10.1112_jlms_s2-25.3.425,,
3,d52279d2-91bb-4a59-bdc7-d0aba2177b09,,
3,pubmed_20813427,,
3,pubmed_32796941,,
4,698ea963-02a1-4dd0-8438-e6863e9b8742,,
4,arxiv_2010.04213v1,,
4,arxiv_2605.15837v1,,
4,crossref_10.1017_cbo9780511863011.012,,
4,crossref_10.1038_s41567-024-02764-x,,
4,crossref_10.1103_physreve.91.032119,,
4,crossref_10.1142_9789814503648_0022,,
4,crossref_10.29172_8e3130c3-9c84-483a-9907-a9d304524b5d,,
4,crossref_10.5040_9798400616693.ch-010,,
4,eaeece5b-a7ba-4ea2-a594-55526b550cf1,,
5,arxiv_1905.03046v1,,
5,arxiv_2601.10330v1,,
5,arxiv_2604.23849v1,,
5,arxiv_2605.13642v1,,
5,crossref_10.1007_s42484-021-00056-8,,
5,crossref_10.1016_j.physb.2008.12.042,,
5,crossref_10.1103_physreva.9.355,,
5,fc3a7a49-7238-4375-aeeb-4535a54f4922,,
5,pubmed_30265280,,
5,pubmed_32804365,,
6,arxiv_1903.01608v2,,
6,arxiv_2605.02767v1,,
6,arxiv_2605.18204v1,,
6,crossref_10.1007_978-3-540-85610-8_20,,
6,crossref_10.1007_978-3-662-44185-5_101078,,
6,crossref_10.1016_b978-0-12-801768-5.00001-0,,
6,crossref_10.1016_s0262-4079(23)01670-6,,
6,crossref_10.1097_00000542-196101000-00059,,
6,crossref_10.1111_j.1365-2044.1950.tb13692.x,,
6,f006b180-b023-40c5-a367-ea0b7174982a,,
7,arxiv_2006.01818v1,,
7,arxiv_2601.07120v1,,
7,pubmed_33230327,,
7,pubmed_34519550,,
7,pubmed_35615852,,
7,pubmed_35904265,,
7,pubmed_36065473,,
7,pubmed_37382093,,
7,pubmed_37918345,,
7,pubmed_41259690,,
8,3af290a5-4f27-41eb-b24a-989ab75f6787,,
8,arxiv_2605.00789v1,,
8,arxiv_2605.00800v1,,
8,arxiv_2605.22767v1,,
8,arxiv_2605.22816v1,,
8,crossref_10.1001_jama.1899.92450750019001g,,
8,crossref_10.1090_conm_146_01242,,
8,d17b63b5-9458-45e3-91f9-81fb4219406c,,
8,pubmed_31900451,,
8,pubmed_36949122,,
9,arxiv_2006.04697v1,,
9,arxiv_2605.12208v1,,
9,crossref_10.1007_978-1-4612-6396-8_1,,
9,crossref_10.1007_978-3-031-13213-1_3,,
9,crossref_10.1007_978-981-13-0926-7_7,,
9,crossref_10.1007_bfb0071001,,
9,crossref_10.11834_jig.230812,,
9,pubmed_27499542,,
9,pubmed_33858591,,
9,pubmed_9077560,,
10,094832cb-e8c6-4b55-8a6b-9ccca4270b7d,,
10,677c798b-64ca-488d-ac0d-b2a67dfcfde2,,
10,arxiv_2605.23861v1,,
10,crossref_10.1007_978-3-319-73150-6_11,,
10,crossref_10.1007_978-981-13-2303-4_2,,
10,f89dc76b-a0fe-4d6c-8889-7106dae2b23f,,
10,fab6680d-2436-428a-9979-c67e1319c78f,,
10,pubmed_28957457,,
10,pubmed_39510921,,
10,pubmed_39831541,,
11,arxiv_2012.13004v1,,
11,biorxiv_10.64898_2026.01.16.700011,,
11,crossref_10.1007_bf00342238,,
11,crossref_10.1007_s11042-021-11345-6,,
11,crossref_10.1136_bmj.2.5160.1178,,
11,pubmed_26426283,,
11,pubmed_31465707,,
11,pubmed_31570382,,
11,pubmed_32767836,,
11,pubmed_41026600,,
12,arxiv_1905.03421v3,,
12,arxiv_1906.01119v1,,
12,arxiv_2008.01825v2,,
12,arxiv_2601.10877v1,,
12,arxiv_2604.28176v1,,
12,arxiv_2605.04443v1,,
12,crossref_10.1007_978-3-030-35249-3_9,,
12,crossref_10.1007_978-3-642-11274-4_3126,,
12,pubmed_33298517,,
12,pubmed_37256966,,
13,arxiv_2601.11020v1,,
13,arxiv_2601.11024v1,,
13,arxiv_2601.11199v1,,
13,arxiv_2605.03971v1,,
13,arxiv_2605.06647v1,,
13,arxiv_2605.18163v1,,
13,crossref_10.1016_s0140-6736(53)91025-3,,
13,crossref_10.1016_s0140-6736(53)91065-4,,
13,crossref_10.1016_s0140-6736(54)91522-6,,
13,pubmed_31492406,,
14,45a70518-17cd-4284-8e54-0840b7d6d836,,
