system,query_id,rank,doc_id,score
dense_openai,1,1,biorxiv_10.64898_2026.01.16.699948,0.5642955303192139
dense_openai,1,2,arxiv_2605.04930v1,0.5620057582855225
dense_openai,1,3,pubmed_39178831,0.5602474212646484
dense_openai,1,4,arxiv_2605.00930v1,0.5585925579071045
dense_openai,1,5,biorxiv_10.64898_2025.12.30.692369,0.5537665486335754
dense_openai,1,6,medrxiv_10.1101_2025.07.07.25331008,0.5129337310791016
dense_openai,1,7,b7f03309-85ad-469a-b488-706b416214be,0.5115780234336853
dense_openai,1,8,arxiv_2605.08012v1,0.5103206634521484
dense_openai,1,9,arxiv_2604.20263v1,0.5074591636657715
dense_openai,1,10,biorxiv_10.1101_2025.04.29.651260,0.49726179242134094
dense_openai,2,1,arxiv_2601.10684v1,0.5679113864898682
dense_openai,2,2,a4df0c42-e892-4f8c-9663-8c52b89b03bc,0.5378755331039429
dense_openai,2,3,beaf4637-71f2-40a4-bae8-ee6372a3c5dc,0.5314293503761292
dense_openai,2,4,arxiv_2605.09409v1,0.5142490267753601
dense_openai,2,5,arxiv_2605.00768v1,0.5063708424568176
dense_openai,2,6,pubmed_39419424,0.5056883096694946
dense_openai,2,7,arxiv_2605.12466v1,0.5024259090423584
dense_openai,2,8,arxiv_2605.05151v1,0.5013571977615356
dense_openai,2,9,arxiv_2605.18732v1,0.498836874961853
dense_openai,2,10,arxiv_2605.10795v1,0.4985896944999695
dense_openai,3,1,arxiv_2605.07905v1,0.5304133296012878
dense_openai,3,2,pubmed_29789547,0.5236333012580872
dense_openai,3,3,arxiv_2605.20168v1,0.5023473501205444
dense_openai,3,4,arxiv_2605.26079v1,0.500502347946167
dense_openai,3,5,arxiv_2605.13801v1,0.5001120567321777
dense_openai,3,6,pubmed_20813427,0.4962497353553772
dense_openai,3,7,arxiv_2605.11221v1,0.492888480424881
dense_openai,3,8,arxiv_1904.12848v6,0.4903356432914734
dense_openai,3,9,arxiv_2605.26100v1,0.48398831486701965
dense_openai,3,10,arxiv_2605.03952v1,0.4795832335948944
dense_openai,4,1,arxiv_2605.16724v1,0.5476634502410889
dense_openai,4,2,c4c4ad56-6cc7-4148-a5b0-81b00e872fef,0.5370531678199768
dense_openai,4,3,crossref_10.29172_8e3130c3-9c84-483a-9907-a9d304524b5d,0.536865770816803
dense_openai,4,4,arxiv_2605.15985v1,0.5300946235656738
dense_openai,4,5,arxiv_2601.10763v1,0.5201064348220825
dense_openai,4,6,arxiv_0204011v2,0.5185210704803467
dense_openai,4,7,pubmed_32375020,0.5176234245300293
dense_openai,4,8,arxiv_2604.22298v1,0.51517254114151
dense_openai,4,9,crossref_10.1142_9789814503648_0022,0.5117735266685486
dense_openai,4,10,pubmed_23567156,0.5110207796096802
dense_openai,5,1,54961904-1994-451a-9bcb-4e4c3d2cd667,0.5465850830078125
dense_openai,5,2,arxiv_2601.11073v1,0.5446057319641113
dense_openai,5,3,fc3a7a49-7238-4375-aeeb-4535a54f4922,0.5378059148788452
dense_openai,5,4,7d9025e2-f6d5-4fea-8b21-3a356d1e615b,0.5374345779418945
dense_openai,5,5,20f2dc22-acdb-4736-bb4a-2a4bdb9c8c7b,0.5347111821174622
dense_openai,5,6,pubmed_32804365,0.5288306474685669
dense_openai,5,7,pubmed_39422817,0.5274800658226013
dense_openai,5,8,arxiv_2605.13604v1,0.5266126394271851
dense_openai,5,9,8399079a-ece4-4959-9b27-09462097a1f8,0.5262438058853149
dense_openai,5,10,pubmed_30898263,0.5252014398574829
dense_openai,6,1,pubmed_35943682,0.4609546661376953
dense_openai,6,2,arxiv_1903.01608v2,0.4477999806404114
dense_openai,6,3,pubmed_41188222,0.43805375695228577
dense_openai,6,4,crossref_10.2139_ssrn.4497590,0.4299692213535309
dense_openai,6,5,arxiv_2601.11342v1,0.42943018674850464
dense_openai,6,6,arxiv_2605.18204v1,0.4277314245700836
dense_openai,6,7,biorxiv_10.1101_2025.07.14.664652,0.42730337381362915
dense_openai,6,8,d3ce5e44-78d6-4646-8acb-ddef5fed752d,0.4240133762359619
dense_openai,6,9,crossref_10.1016_s0262-4079(23)01670-6,0.4221382737159729
dense_openai,6,10,arxiv_2605.04013v1,0.42028406262397766
dense_openai,7,1,arxiv_2006.01818v1,0.5555234551429749
dense_openai,7,2,pubmed_31522294,0.5174886584281921
dense_openai,7,3,pubmed_33707744,0.4899521470069885
dense_openai,7,4,pubmed_41460887,0.48049065470695496
dense_openai,7,5,pubmed_39293939,0.4700729250907898
dense_openai,7,6,pubmed_35870448,0.4693874716758728
dense_openai,7,7,pubmed_35189355,0.4644404947757721
dense_openai,7,8,pubmed_32385420,0.46327221393585205
dense_openai,7,9,crossref_10.22541_au.158687268.81852407_v2,0.46066558361053467
dense_openai,7,10,crossref_10.22541_au.158687268.81852407,0.46066558361053467
dense_openai,8,1,arxiv_2605.00800v1,0.4976431727409363
dense_openai,8,2,arxiv_2604.25914v1,0.4507145285606384
dense_openai,8,3,crossref_10.1017_cbo9780511526312.013,0.44492608308792114
dense_openai,8,4,arxiv_2605.10912v1,0.43481478095054626
dense_openai,8,5,arxiv_2605.03952v1,0.4341241121292114
dense_openai,8,6,arxiv_2605.12501v1,0.4337460696697235
dense_openai,8,7,arxiv_2604.25884v1,0.4326794743537903
dense_openai,8,8,arxiv_2605.06652v1,0.4297415614128113
dense_openai,8,9,arxiv_2604.20013v1,0.42913079261779785
dense_openai,8,10,arxiv_2605.15177v1,0.42440369725227356
dense_openai,9,1,arxiv_2605.22133v1,0.548363208770752
dense_openai,9,2,arxiv_2605.22133v2,0.548363208770752
dense_openai,9,3,arxiv_2605.18552v1,0.5456117987632751
dense_openai,9,4,arxiv_2605.11764v1,0.5152488946914673
dense_openai,9,5,arxiv_2008.04757v4,0.512606143951416
dense_openai,9,6,pubmed_31648642,0.5059772729873657
dense_openai,9,7,crossref_10.1002_rcm.2631,0.502174973487854
dense_openai,9,8,crossref_10.1021_acs.biochem.8b00976.s001,0.5015606880187988
dense_openai,9,9,crossref_10.1021_acs.biochem.8b00976,0.5015606880187988
dense_openai,9,10,arxiv_2605.06879v1,0.5011942386627197
dense_openai,10,1,pubmed_39831541,0.5345116853713989
dense_openai,10,2,f367627e-8ec9-4158-aae7-3d6f9fe17442,0.5123997330665588
dense_openai,10,3,cbd1d5b2-4ead-47ad-98b6-84627f5ee676,0.5087968707084656
dense_openai,10,4,f89dc76b-a0fe-4d6c-8889-7106dae2b23f,0.5059775114059448
dense_openai,10,5,arxiv_2605.06484v1,0.5008633732795715
dense_openai,10,6,arxiv_2605.08012v1,0.4909740090370178
dense_openai,10,7,0dd5b7d8-8ae1-4eed-ab18-c6c4c8cd6b86,0.47896140813827515
dense_openai,10,8,arxiv_2601.11016v1,0.4779912829399109
dense_openai,10,9,677c798b-64ca-488d-ac0d-b2a67dfcfde2,0.47760605812072754
dense_openai,10,10,pubmed_39510921,0.47215163707733154
dense_openai,11,1,arxiv_2605.26070v1,0.5441774129867554
dense_openai,11,2,medrxiv_10.64898_2026.01.05.25342252,0.514604926109314
dense_openai,11,3,medrxiv_10.64898_2026.01.22.26344605,0.5132790207862854
dense_openai,11,4,arxiv_2601.11027v1,0.495501846075058
dense_openai,11,5,arxiv_2601.11170v1,0.4806767702102661
dense_openai,11,6,arxiv_2601.10925v1,0.4727216362953186
dense_openai,11,7,arxiv_2601.11227v1,0.4706439971923828
dense_openai,11,8,arxiv_2605.06619v1,0.4704799950122833
dense_openai,11,9,arxiv_2605.00777v1,0.4687115550041199
dense_openai,11,10,arxiv_2601.11060v1,0.4575055241584778
dense_openai,12,1,arxiv_2008.01825v2,0.6282862424850464
dense_openai,12,2,arxiv_2605.13751v1,0.5689312219619751
dense_openai,12,3,0cdaaea7-8d96-4cd4-8369-017611f895f5,0.5526936650276184
dense_openai,12,4,arxiv_2605.13775v1,0.5452345609664917
dense_openai,12,5,arxiv_1906.01121v1,0.5218615531921387
dense_openai,12,6,arxiv_2605.20072v1,0.518557071685791
dense_openai,12,7,arxiv_2605.22800v1,0.5182955265045166
dense_openai,12,8,arxiv_1906.01119v1,0.5122554302215576
dense_openai,12,9,arxiv_2601.11421v1,0.5109198689460754
dense_openai,12,10,arxiv_2605.15188v1,0.5042233467102051
dense_openai,13,1,arxiv_2605.03971v1,0.5155799388885498
dense_openai,13,2,arxiv_2601.11429v1,0.497948557138443
dense_openai,13,3,medrxiv_10.1101_2025.08.22.25334259,0.4921650290489197
dense_openai,13,4,pubmed_38238226,0.4829121530056
dense_openai,13,5,arxiv_2605.07919v1,0.477276086807251
dense_openai,13,6,arxiv_2605.18163v1,0.46905091404914856
dense_openai,13,7,arxiv_2605.05134v1,0.44810184836387634
dense_openai,13,8,arxiv_2605.13772v1,0.4263402223587036
dense_openai,13,9,biorxiv_10.64898_2025.12.18.695281,0.4233666658401489
dense_openai,13,10,arxiv_2605.05166v1,0.42283838987350464
dense_openai,14,1,arxiv_2605.06420v1,0.5164363980293274
dense_openai,14,2,45a70518-17cd-4284-8e54-0840b7d6d836,0.5121341347694397
dense_openai,14,3,arxiv_2605.22800v1,0.5075221061706543
dense_openai,14,4,arxiv_2605.23868v1,0.5004723072052002
dense_openai,14,5,arxiv_2605.02853v1,0.4771025776863098
dense_openai,14,6,arxiv_2605.16165v1,0.47581154108047485
dense_openai,14,7,arxiv_1904.07934v2,0.4754355549812317
dense_openai,14,8,arxiv_2605.10937v1,0.4740044176578522
dense_openai,14,9,arxiv_2604.21909v1,0.4734542965888977
dense_openai,14,10,arxiv_2604.20061v1,0.4717070460319519
dense_openai,15,1,arxiv_2605.22954v1,0.5474309921264648
dense_openai,15,2,d99a907f-98af-4afd-bf3a-55b027fd16e4,0.5446929335594177
dense_openai,15,3,biorxiv_10.64898_2026.01.20.700519,0.5446394681930542
dense_openai,15,4,cde04f2c-eb1b-4436-aac0-f177aca9e036,0.5372157096862793
dense_openai,15,5,3ea3da63-9edb-4406-a7ec-0042bf7f7360,0.5353195667266846
dense_openai,15,6,pubmed_30759195,0.5343412756919861
dense_openai,15,7,pubmed_31492022,0.5322153568267822
dense_openai,15,8,pubmed_30398072,0.5289649963378906
dense_openai,15,9,pubmed_26671840,0.5256317853927612
dense_openai,15,10,arxiv_2605.23164v1,0.5235333442687988
dense_openai,16,1,arxiv_2604.18755v1,0.5777855515480042
dense_openai,16,2,2dfd824d-3f81-40e9-8869-b344e5261a89,0.502627968788147
dense_openai,16,3,pubmed_35650452,0.4933719336986542
dense_openai,16,4,pubmed_40202026,0.49251312017440796
dense_openai,16,5,arxiv_2601.07619v1,0.4893178343772888
dense_openai,16,6,arxiv_2605.16245v1,0.48431771993637085
dense_openai,16,7,arxiv_2605.22771v1,0.4817100167274475
dense_openai,16,8,crossref_10.22369_issn.2153-4136_1_1_4,0.47957438230514526
dense_openai,16,9,arxiv_2605.18738v1,0.477186381816864
dense_openai,16,10,arxiv_1906.01562v2,0.4751964211463928
dense_openai,17,1,ed3cfbbe-e22b-4b27-b05a-3cd8fa4254c3,0.5900458693504333
dense_openai,17,2,0a9a7e69-749b-4676-b6d7-d04b8212de42,0.5123414993286133
dense_openai,17,3,pubmed_29248328,0.4659343957901001
dense_openai,17,4,pubmed_40153958,0.4603824019432068
dense_openai,17,5,arxiv_2605.13743v1,0.44251930713653564
dense_openai,17,6,arxiv_2604.25903v1,0.4323049783706665
dense_openai,17,7,arxiv_2601.11348v1,0.4314012825489044
dense_openai,17,8,arxiv_2605.25079v1,0.42286407947540283
dense_openai,17,9,arxiv_2605.16250v1,0.4065369665622711
dense_openai,17,10,arxiv_2604.19676v1,0.4057460427284241
dense_openai,18,1,arxiv_2604.21780v1,0.49222683906555176
dense_openai,18,2,arxiv_2605.06420v1,0.48387593030929565
dense_openai,18,3,57f79510-0478-46c6-8371-2cf798fb14ad,0.4806426763534546
dense_openai,18,4,crossref_10.1007_978-94-017-0849-4_43,0.4676302671432495
dense_openai,18,5,arxiv_2006.00533v1,0.4602891206741333
dense_openai,18,6,e4b511f9-babb-401d-8c10-95f94763fa0c,0.45772525668144226
dense_openai,18,7,arxiv_2605.20170v1,0.45669025182724
dense_openai,18,8,arxiv_2605.24706v1,0.449967622756958
dense_openai,18,9,arxiv_2605.03690v1,0.4468633830547333
dense_openai,18,10,arxiv_2601.11047v1,0.4457964301109314
dense_openai,19,1,arxiv_2605.20025v1,0.4874023199081421
dense_openai,19,2,pubmed_39419424,0.4804407060146332
dense_openai,19,3,pubmed_36002501,0.47551652789115906
dense_openai,19,4,arxiv_2605.14025v1,0.4690173268318176
dense_openai,19,5,arxiv_2605.12500v1,0.46511784195899963
dense_openai,19,6,arxiv_2604.25898v1,0.46077337861061096
dense_openai,19,7,arxiv_2604.21836v1,0.46019384264945984
dense_openai,19,8,arxiv_2605.08019v1,0.45680147409439087
dense_openai,19,9,arxiv_2605.13651v1,0.4562424123287201
dense_openai,19,10,arxiv_2605.11258v1,0.4547768831253052
dense_openai,20,1,arxiv_2605.03971v1,0.49539583921432495
dense_openai,20,2,pubmed_38238226,0.4818991720676422
dense_openai,20,3,arxiv_2601.11429v1,0.48102858662605286
dense_openai,20,4,arxiv_2605.05134v1,0.456021249294281
dense_openai,20,5,arxiv_2605.18163v1,0.44271522760391235
dense_openai,20,6,arxiv_2605.13772v1,0.43083274364471436
dense_openai,20,7,arxiv_2601.11000v1,0.4256483316421509
dense_openai,20,8,pubmed_32378427,0.4243815243244171
dense_openai,20,9,arxiv_1906.01040v3,0.4177755117416382
dense_openai,20,10,pubmed_35144999,0.3998689651489258
dense_openai,21,1,arxiv_2605.19999v1,0.4746229648590088
dense_openai,21,2,arxiv_2012.13872v1,0.45701920986175537
dense_openai,21,3,arxiv_2605.15177v1,0.44734227657318115
dense_openai,21,4,biorxiv_10.1101_2025.07.03.661972,0.43693530559539795
dense_openai,21,5,arxiv_2605.26074v1,0.42867791652679443
dense_openai,21,6,b02def18-dbec-46b5-8e16-0ecd5ee33428,0.4284610152244568
dense_openai,21,7,arxiv_2605.22579v1,0.4274488687515259
dense_openai,21,8,arxiv_2605.10893v1,0.4266468584537506
dense_openai,21,9,arxiv_2601.11093v1,0.42634308338165283
dense_openai,21,10,arxiv_2605.06611v1,0.4254770874977112
dense_openai,22,1,arxiv_2604.20965v1,0.5375683307647705
dense_openai,22,2,arxiv_2604.26868v1,0.5169895887374878
dense_openai,22,3,arxiv_2604.24589v1,0.5125992894172668
dense_openai,22,4,5ee79734-c7ab-4e54-bcab-2573af8ba142,0.5112748146057129
dense_openai,22,5,arxiv_2605.26068v1,0.5103486776351929
dense_openai,22,6,arxiv_2604.20699v1,0.5026093125343323
dense_openai,22,7,arxiv_2601.10878v1,0.4752306044101715
dense_openai,22,8,arxiv_2601.10797v1,0.4719032645225525
dense_openai,22,9,arxiv_2605.18188v1,0.4694880545139313
dense_openai,22,10,arxiv_2601.11139v1,0.4683728814125061
dense_openai,23,1,medrxiv_10.64898_2026.01.04.26343415,0.5372087955474854
dense_openai,23,2,arxiv_2605.23825v1,0.5035185813903809
dense_openai,23,3,arxiv_2601.11227v1,0.4923486113548279
dense_openai,23,4,arxiv_2605.26070v1,0.4844875931739807
dense_openai,23,5,arxiv_2605.10901v1,0.4717986583709717
dense_openai,23,6,arxiv_2605.05159v1,0.4700157046318054
dense_openai,23,7,arxiv_2605.18738v1,0.46318089962005615
dense_openai,23,8,arxiv_2605.06656v1,0.4629373252391815
dense_openai,23,9,arxiv_2605.03998v1,0.462523490190506
dense_openai,23,10,arxiv_2601.11220v1,0.45525428652763367
dense_openai,24,1,arxiv_2605.18588v1,0.5346212387084961
dense_openai,24,2,arxiv_2605.22774v1,0.5277646780014038
dense_openai,24,3,arxiv_2605.22759v1,0.49856477975845337
dense_openai,24,4,pubmed_38007168,0.49360787868499756
dense_openai,24,5,arxiv_2605.13816v1,0.4894813895225525
dense_openai,24,6,pubmed_32356091,0.48917314410209656
dense_openai,24,7,arxiv_2604.22137v1,0.488986074924469
dense_openai,24,8,pubmed_40427924,0.473407506942749
dense_openai,24,9,pubmed_35841260,0.47088903188705444
dense_openai,24,10,pubmed_34931949,0.4686291515827179
dense_openai,25,1,b735b397-a81d-4bb2-87f5-789fe90ce5b6,0.5539677739143372
dense_openai,25,2,arxiv_2605.26087v1,0.5310685634613037
dense_openai,25,3,arxiv_2604.22993v1,0.5207419395446777
dense_openai,25,4,crossref_10.26226_m.6275705f66d5dcf63a31175b,0.5105970501899719
dense_openai,25,5,arxiv_2601.11087v1,0.5105867981910706
dense_openai,25,6,arxiv_1808.05530v4,0.5084409713745117
dense_openai,25,7,arxiv_2601.10442v1,0.5077124834060669
dense_openai,25,8,d3ce5e44-78d6-4646-8acb-ddef5fed752d,0.5043781995773315
dense_openai,25,9,e1d69d1a-5d82-4f9b-83fc-3fc9349eb2fb,0.5016713738441467
dense_openai,25,10,035da962-029a-4ce7-9596-0b068fb9ed4b,0.4996950626373291
dense_openai,26,1,arxiv_2605.13706v1,0.42487528920173645
dense_openai,26,2,arxiv_2604.25903v1,0.3905518651008606
dense_openai,26,3,arxiv_2602.04602v1,0.37837842106819153
dense_openai,26,4,82fc525a-a852-45b9-95be-3bb88c2e66c9,0.3715495467185974
dense_openai,26,5,arxiv_2605.06635v1,0.3695491850376129
