doi,question_ids,title,arxiv_id,admit_policy
10.1007/s00454-011-9344-x,tdap-q1,"Persistent Cohomology and Circular Coordinates",,all_references
10.1007/978-3-030-43408-3_17,tdap-q1,"Sparse Circular Coordinates via Principal Z-Bundles",,all_references
10.4230/lipics.socg.2023.57,tdap-q1,"Toroidal Coordinates: Decorrelating Circular Coordinates With Lattice Reduction",2212.07201,all_references
10.1007/s00454-004-1146-y,tdap-q2,"Computing Persistent Homology",,all_references
10.1140/epjds/s13688-017-0109-5,tdap-q2,"A roadmap for the computation of persistent homology",,all_references
10.1137/1.9781611978957.15,tdap-q2,"Distributed Computation of Persistent Cohomology",2410.16553,all_references
10.1007/s10208-014-9206-z,tdap-q3,"Sliding Windows and Persistence: An Application of Topological Methods to Signal Analysis",,strict
10.1038/s41586-021-04268-7,tdap-q3,"Toroidal topology of population activity in grid cells",,strict
10.1162/neco_a_01150,tdap-q3,"Decoding of Neural Data Using Cohomological Feature Extraction",,strict
10.3389/fncom.2021.616748,tdap-q3,"Evaluating State Space Discovery by Persistent Cohomology in the Spatial Representation System",,strict
