process_id,process_name,organism,category,complexity,node_count,conditional_count,or_gates,and_gates,not_gates,loops
ecoli_aerobic_respiration,Aerobic Respiration and Electron Transport,E. coli,Metabolic Pathway,unknown,80,78,7,2,2,12
ecoli_amino_acid_biosynthesis,Amino Acid Biosynthesis Pathways,E. coli,Metabolic Pathway,detailed,81,62,7,1,5,16
ecoli_anaerobic_respiration,Anaerobic Respiration Regulation (ArcAB and FNR),E. coli,Metabolic Regulation,detailed,84,61,8,1,7,8
ecoli_antibiotic_efflux_pumps,Antibiotic Efflux Pumps,E. coli,Biological Process,detailed,55,73,1,1,4,7
ecoli_ara_operon,Arabinose Operon and AraC Dual Regulation,E. coli,Gene Regulation,detailed,59,35,2,2,3,5
ecoli_arginine_biosynthesis,Arginine Biosynthesis and Regulation,E. coli,Metabolic Regulation,detailed,57,51,1,0,4,8
ecoli_base_excision_repair,Base Excision Repair (BER),E. coli,DNA Repair,detailed,67,66,0,11,3,4
ecoli_biofilm_formation,E. coli Biofilm Formation,E. coli,Signal Transduction,detailed,65,54,0,10,4,6
ecoli_catabolite_repression,Catabolite Repression and Global Carbon Control,E. coli,Metabolic Regulation,detailed,54,30,2,2,4,3
ecoli_cell_division,Cell Division and FtsZ Ring Assembly,E. coli,Cell Division,detailed,79,59,6,1,4,6
ecoli_chemotaxis,E. coli Chemotaxis,E. coli,Signal Transduction,detailed,64,59,0,15,1,7
ecoli_cold_shock_response,Cold Shock Response,E. coli,Stress Response,detailed,57,80,2,0,6,5
ecoli_dna_damage_checkpoint,DNA Damage Checkpoint and Cell Cycle Arrest,E. coli,DNA Repair,detailed,86,65,7,0,16,4
ecoli_dna_replication_elongation,DNA Replication Elongation,E. coli,DNA Replication,detailed,64,67,0,13,0,9
ecoli_dna_replication_initiation,DNA Replication Initiation at oriC,E. coli,DNA Replication,detailed,19,23,0,0,1,0
ecoli_dna_replication_termination,DNA Replication Termination,E. coli,DNA Replication,detailed,69,63,0,15,2,6
ecoli_e._coli_acid_resistance,"Acid Resistance Systems (AR1, AR2, AR3)",E. coli,Stress Response,detailed,68,37,5,0,4,4
ecoli_e._coli_flagellar_assembly,E. coli Flagellar Assembly,E. coli,Biological Process,detailed,63,62,0,6,0,11
ecoli_e._coli_heat_shock_response,Heat Shock Response and σ32 (RpoH) Regulation,E. coli,Stress Response,detailed,72,15,2,2,5,3
ecoli_e._coli_osmotic_stress_response,E. coli Osmotic Stress Response,E. coli,Stress Response,detailed,57,65,0,6,0,10
ecoli_e._coli_stringent_response,E. coli Stringent Response,E. coli,Biological Process,detailed,60,45,0,5,4,2
ecoli_e._coli_two_component_signaling,Two-Component Signal Transduction (EnvZ-OmpR Paradigm),E. coli,Signal Transduction,detailed,67,13,5,2,5,2
ecoli_envelope_stress_response,E. coli Envelope Stress Response,E. coli,Stress Response,detailed,61,69,0,3,5,3
ecoli_fatty_acid_degradation,Fatty Acid β-Oxidation and Regulation,E. coli,Metabolic Pathway,detailed,67,58,3,5,7,10
ecoli_fatty_acid_synthesis,Fatty Acid Synthesis (Type II FAS),E. coli,Metabolic Pathway,detailed,55,54,2,0,4,5
ecoli_flagellar_assembly,Flagellar Assembly and FlhDC Regulation,E. coli,Developmental Program,detailed,65,55,4,0,1,3
ecoli_glycolysis,Glycolysis (Embden-Meyerhof-Parnas Pathway),E. coli,Metabolic Pathway,detailed,80,59,6,0,1,2
ecoli_heat_shock_response,Heat Shock Response and Protein Quality Control,E. coli,Stress Response,detailed,66,35,1,2,2,2
ecoli_heavy_metal_resistance,Heavy Metal Resistance (Copper and Zinc Homeostasis),E. coli,Stress Response,detailed,96,59,6,3,7,7
ecoli_homologous_recombination,Homologous Recombination,E. coli,DNA Repair,detailed,80,66,9,0,5,6
ecoli_iron_homeostasis,Iron Homeostasis,E. coli,Biological Process,detailed,56,70,2,0,11,4
ecoli_lac_operon,Lac Operon Regulation,E. coli,Gene Regulation,maximum,58,57,3,2,6,4
ecoli_mal_regulon,Maltose Regulon and Multi-Operon Coordination,E. coli,Metabolic Regulation,detailed,59,37,3,3,1,7
ecoli_mismatch_repair,DNA Mismatch Repair (MMR),E. coli,DNA Repair,detailed,95,78,0,18,6,6
ecoli_nitrogen_assimilation,Nitrogen Assimilation and Ntr Regulation,E. coli,Metabolic Regulation,detailed,61,37,1,3,0,4
