process_id,node_count,conditional_count,or_gates,and_gates,not_gates
ecoli_aerobic_respiration,80,78,7,2,2
ecoli_amino_acid_biosynthesis,81,62,7,1,5
ecoli_anaerobic_respiration,84,61,8,1,7
ecoli_antibiotic_efflux_pumps,55,73,1,1,4
ecoli_ara_operon,59,35,2,2,3
ecoli_arginine_biosynthesis,57,51,1,0,4
ecoli_base_excision_repair,67,66,0,11,3
ecoli_biofilm_formation,65,54,0,10,4
ecoli_catabolite_repression,54,30,2,2,4
ecoli_cell_division,79,59,6,1,4
ecoli_chemotaxis,64,59,0,15,1
ecoli_cold_shock_response,57,80,2,0,6
ecoli_dna_damage_checkpoint,86,65,7,0,16
ecoli_dna_replication_elongation,64,67,0,13,0
ecoli_dna_replication_initiation,19,23,0,0,1
ecoli_dna_replication_termination,69,63,0,15,2
ecoli_e._coli_acid_resistance,Stress Response,detailed,68,37,5
ecoli_e._coli_flagellar_assembly,63,62,0,6,0
ecoli_e._coli_heat_shock_response,72,15,2,2,5
ecoli_e._coli_osmotic_stress_response,57,65,0,6,0
ecoli_e._coli_stringent_response,60,45,0,5,4
ecoli_e._coli_two_component_signaling,67,13,5,2,5
ecoli_envelope_stress_response,61,69,0,3,5
ecoli_fatty_acid_degradation,67,58,3,5,7
ecoli_fatty_acid_synthesis,55,54,2,0,4
ecoli_flagellar_assembly,65,55,4,0,1
ecoli_glycolysis,80,59,6,0,1
ecoli_heat_shock_response,66,35,1,2,2
ecoli_heavy_metal_resistance,96,59,6,3,7
ecoli_homologous_recombination,80,66,9,0,5
ecoli_iron_homeostasis,56,70,2,0,11
ecoli_lac_operon,58,57,3,2,6
ecoli_mal_regulon,59,37,3,3,1
ecoli_mismatch_repair,95,78,0,18,6
ecoli_nitrogen_assimilation,61,37,1,3,0
ecoli_nucleotide_biosynthesis,79,57,3,4,2
ecoli_nucleotide_excision_repair,81,68,0,12,0
ecoli_outer_membrane_assembly,73,57,2,7,5
ecoli_oxidative_stress_response,77,62,7,0,2
ecoli_pentose_phosphate_pathway,56,51,5,2,2
ecoli_peptidoglycan_biosynthesis,95,95,7,2,4
ecoli_periplasmic_stress,76,60,8,0,10
ecoli_phage_defense,69,55,4,5,5
ecoli_pho_regulon,60,39,2,2,1
ecoli_phosphate_regulation,64,75,4,0,6
ecoli_phosphate_transport,68,49,4,4,4
ecoli_protein_folding_chaperones,57,47,11,0,4
ecoli_quorum_sensing,51,54,0,7,5
ecoli_ribosome_assembly,57,53,0,9,2
ecoli_rna_polymerase_recycling,52,46,0,8,3
ecoli_sigma_factor_competition,71,56,0,10,1
ecoli_sos_response,74,62,0,11,7
ecoli_starvation_response,92,65,7,0,10
ecoli_stringent_response,63,37,2,2,1
ecoli_sulfur_metabolism,74,55,3,3,5
ecoli_tca_cycle,83,65,8,0,0
ecoli_transcription_elongation,58,67,9,0,7
ecoli_transcription_regulation,20,24,0,0,3
ecoli_transcription_termination,64,59,7,0,10
ecoli_translation_elongation,54,65,6,1,2
ecoli_translation_initiation,84,68,0,14,7
ecoli_translation_termination,61,62,6,0,6
ecoli_trp_operon,67,44,2,1,9
ecoli_tryptophan_biosynthesis,68,58,3,3,8
ecoli_two_component_signaling,47,33,2,1,1
ecoli_type_iii_secretion,64,56,0,12,3
yeast_aerobic_respiration,84,83,5,2,5
yeast_alcoholic_fermentation,75,83,7,1,3
yeast_autophagy,80,59,0,12,6
yeast_cell_cycle_checkpoints,90,99,7,1,14
yeast_cell_cycle_control,22,25,0,0,1
yeast_cell_wall_integrity,85,81,6,3,3
yeast_chromatin_silencing,78,65,3,7,18
yeast_dna_replication,89,87,5,5,5
yeast_er_stress_response,68,57,3,5,3
yeast_gal_regulation,64,51,2,1,5
yeast_gcn4_starvation,80,57,2,2,5
yeast_glycolysis,68,53,4,0,3
yeast_heat_shock_response,57,57,6,0,2
yeast_hog_pathway,94,69,8,2,6
yeast_mapk_mating,78,70,4,8,5
yeast_mating_response,82,71,0,18,7
yeast_mating_type_switching,58,51,4,2,2
yeast_meiosis_regulation,64,55,5,1,8
yeast_mitochondrial_biogenesis,62,60,4,5,5
yeast_mitochondrial_import,76,62,0,15,1
yeast_nitrogen_metabolism,63,50,3,3,5
yeast_nucleotide_excision_repair,51,50,0,9,0
yeast_osmotic_stress_response,60,74,2,0,1
yeast_oxidative_stress_response,42,49,3,2,3
yeast_pka_pathway,78,57,5,2,8
yeast_protein_folding,62,46,11,0,7
yeast_ribosome_biogenesis,89,88,7,5,3
yeast_rna_splicing,80,65,1,10,2
yeast_snf1_pathway,69,56,5,1,10
yeast_tor_signaling,91,71,8,0,15
yeast_ubiquitin_proteasome,62,56,0,10,4
yeast_unfolded_protein_response,76,60,0,13,6
yeast_vesicle_trafficking,80,60,2,11,3
yeast_yeast_cell_polarity,55,45,0,7,1
yeast_yeast_er_associated_degradation,43,41,0,2,1
yeast_yeast_glycolysis_regulation,49,63,0,1,1
yeast_yeast_peroxisome_biogenesis,60,61,0,6,0
yeast_yeast_vacuolar_protein_sorting,54,62,0,3,3
bacillus_biofilm_formation,64,50,4,2,6
bacillus_competence_development,55,50,2,1,5
bacillus_germination,85,80,6,2,2
bacillus_sporulation_initiation,66,61,6,1,2
